"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",371,69000,90000,120000,159000,169000,220000,228000,229000,251000
"POST /",278,28000,31000,36000,82000,109000,137000,169000,169000,227000
"GET /analysis.html",32,17000,30000,86000,91000,94000,142000,161000,161000,161000
"POST /analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",17,39000,52000,55000,60000,103000,107000,107000,107000,107000
"POST /analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",7,63000,108000,109000,109000,121000,121000,121000,121000,121000
"POST /analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",2,86000,86000,86000,86000,86000,86000,86000,86000,86000
"GET /compare.html",56,25000,33000,44000,86000,117000,138000,150000,158000,158000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",17,75000,100000,104000,109000,115000,121000,121000,121000,121000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",18,71000,84000,100000,101000,108000,113000,113000,113000,113000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",5,42000,64000,64000,93000,93000,93000,93000,93000,93000
"GET /measure.html",112,26000,42000,89000,91000,117000,149000,214000,226000,232000
"POST /measureResults.html",83,38000,59000,76000,94000,115000,138000,163000,171000,171000
"GET /movers.html",83,23000,37000,90000,107000,122000,143000,169000,213000,213000
"POST /moversResult.html",63,55000,86000,97000,99000,120000,122000,128000,143000,143000
"GET /prediction.html",49,26000,86000,90000,91000,102000,112000,145000,145000,145000
"POST /predictionResult.html",30,44000,94000,112000,117000,134000,137000,144000,144000,144000
"Total",1223,31000,70000,91000,104000,141000,168000,214000,227000,251000
