"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",232,90000,92000,104000,106000,106000,106000,240000,241000,241000
"POST /",114,130000,133000,134000,135000,136000,136000,136000,136000,136000
"GET /analysis.html",31,3600,13000,22000,22000,58000,79000,82000,82000,82000
"POST /analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",12,53000,53000,106000,106000,129000,130000,130000,130000,130000
"POST /analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",5,21000,25000,25000,34000,34000,34000,34000,34000,34000
"POST /analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",3,33000,33000,39000,39000,39000,39000,39000,39000,39000
"GET /compare.html",64,5400,13000,18000,30000,60000,81000,115000,118000,118000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",16,67000,83000,102000,102000,135000,176000,176000,176000,176000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",21,40000,53000,91000,95000,113000,119000,163000,163000,163000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",3,60000,60000,95000,95000,95000,95000,95000,95000,95000
"GET /measure.html",129,5600,16000,20000,29000,57000,77000,101000,110000,133000
"POST /measureResults.html",97,41000,78000,98000,109000,138000,156000,165000,169000,169000
"GET /movers.html",73,3700,17000,26000,35000,42000,66000,82000,85000,85000
"POST /moversResult.html",41,64000,95000,126000,133000,169000,197000,213000,213000,213000
"GET /prediction.html",41,3600,5500,8000,18000,21000,74000,131000,131000,131000
"POST /predictionResult.html",21,68000,112000,127000,146000,155000,171000,221000,221000,221000
"Total",903,45000,69000,91000,104000,131000,135000,161000,197000,241000
