"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",2,10,10,10,10,10,10,10,10,10
"POST /",2,170,170,170,170,170,170,170,170,170
"GET /analysis.html",8,24,25,29,29,46,46,46,46,46
"POST /analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",5,3000,3200,3200,3200,3200,3200,3200,3200,3200
"POST /analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",3,2800,2800,3100,3100,3100,3100,3100,3100,3100
"GET /compare.html",15,34,38,39,40,40,57,57,57,57
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",8,6200,6500,6500,6500,6700,6700,6700,6700,6700
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",6,5800,5800,5900,5900,6500,6500,6500,6500,6500
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",1,6000,6000,6000,6000,6000,6000,6000,6000,6000
"GET /measure.html",22,24,25,26,28,30,44,49,49,49
"POST /measureResults.html",22,3100,3200,3200,3200,3200,3300,3300,3300,3300
"GET /movers.html",22,7,8,10,10,11,17,18,18,18
"POST /moversResult.html",22,13000,14000,14000,14000,14000,14000,14000,14000,14000
"GET /prediction.html",6,21,21,23,23,27,27,27,27,27
"POST /predictionResult.html",6,9100,9100,9200,9200,9400,9400,9400,9400,9400
"Total",150,170,3200,5800,6500,13000,14000,14000,14000,14000
