"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /",256,53000,67000,75000,78000,105000,117000,142000,165000,203000
"POST /",251,27000,50000,76000,91000,110000,154000,203000,222000,222000
"GET /analysis.html",49,42000,50000,59000,67000,79000,110000,137000,137000,137000
"POST /analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",14,66000,67000,78000,102000,128000,134000,134000,134000,134000
"POST /analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",17,46000,65000,70000,85000,112000,117000,117000,117000,117000
"POST /analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",7,23000,49000,55000,55000,84000,84000,84000,84000,84000
"GET /compare.html",73,46000,52000,62000,77000,109000,112000,130000,203000,203000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",25,35000,54000,66000,69000,84000,106000,111000,111000,111000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",13,53000,58000,59000,60000,79000,125000,125000,125000,125000
"POST /compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",5,62000,72000,72000,108000,108000,108000,108000,108000,108000
"GET /measure.html",124,50000,55000,63000,82000,109000,113000,117000,117000,120000
"POST /measureResults.html",84,53000,60000,68000,76000,96000,112000,117000,124000,124000
"GET /movers.html",89,46000,53000,56000,59000,102000,105000,111000,117000,117000
"POST /moversResult.html",52,74000,81000,86000,93000,114000,117000,131000,164000,164000
"GET /prediction.html",41,43000,54000,57000,62000,72000,92000,115000,115000,115000
"POST /predictionResult.html",31,58000,68000,79000,80000,85000,114000,134000,134000,134000
"Total",1131,46000,60000,72000,78000,106000,117000,154000,165000,222000
